"","상호명","지점명","상권업종대분류명","상권업종중분류명","상권업종소분류명","행정동명","도로명주소","경도","위도","행정동코드"
"1","커피빈코리아선릉로93길점","코리아선릉로93길점","음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 선릉로93길 6",127.047883157395,37.505675040058,1168064000
"2","커피빈","코리아교대점","음식","커피점/카페","커피전문점/카페/다방","서초1동","서울특별시 서초구 서초중앙로 118",127.014217033954,37.4923876590647,1165051000
"3","고려대학교교육관쎄리오점",NA,"음식","커피점/카페","커피전문점/카페/다방","안암동","서울특별시 성북구 안암로 145",127.031701809695,37.5884849860916,1129060000
"4","스완카페트",NA,"음식","커피점/카페","커피전문점/카페/다방","대림3동","서울특별시 영등포구 도신로10가길 11-1",126.897710439978,37.5036933368184,1156072000
"5","왕실",NA,"음식","커피점/카페","커피전문점/카페/다방","명동","서울특별시 중구 남대문로 52-13",126.982418808029,37.562273608482,1114055000
"6","파스쿠찌","디큐브아트센터2호점","음식","커피점/카페","커피전문점/카페/다방","신도림동","서울특별시 구로구 경인로 662",126.888484621418,37.5080580382841,1153051000
"7","카페필로네",NA,"음식","커피점/카페","커피전문점/카페/다방","서초2동","서울특별시 서초구 남부순환로 2583",127.032940495121,37.4847482687652,1165052000
"8","메머드커피",NA,"음식","커피점/카페","커피전문점/카페/다방","서교동","서울특별시 마포구 와우산로 149",126.929691877693,37.5545990573133,1144066000
"9","커피빈","코리아대학로대명거리점","음식","커피점/카페","커피전문점/카페/다방","혜화동","서울특별시 종로구 대명길 25",127.000170846364,37.5831492497775,1111065000
"10","요거프레소","쌍문점","음식","커피점/카페","커피전문점/카페/다방","쌍문2동","서울특별시 도봉구 도당로 7",127.034745665547,37.6587277238356,1132067000
"11","망고식스","명동페이리스점","음식","커피점/카페","커피전문점/카페/다방","명동","서울특별시 중구 명동4길 26",126.983728102857,37.5625461885785,1114055000
"12","바빈스커피",NA,"음식","커피점/카페","커피전문점/카페/다방","역삼2동","서울특별시 강남구 테헤란로 156",127.036602597823,37.5007088680698,1168065000
"13","커피빈","코리아선릉역점","음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 테헤란로 335",127.048222908235,37.5047496908904,1168064000
"14","대치휴게소",NA,"음식","커피점/카페","커피전문점/카페/다방","대치4동","서울특별시 강남구 삼성로 319",127.059713096918,37.5003274192559,1168063000
"15","악스카페테리아",NA,"음식","커피점/카페","커피전문점/카페/다방","광장동","서울특별시 광진구 구천면로 20",127.107951436124,37.5457183340134,1121581000
"16","Cafe문달",NA,"음식","커피점/카페","커피전문점/카페/다방","방배1동","서울특별시 서초구 방배로19길 25",126.993669214693,37.4848347786317,1165060000
"17","CARIBOUCOFFEE",NA,"음식","커피점/카페","커피전문점/카페/다방","신촌동","서울특별시 서대문구 이화여대8길 3",126.946053850812,37.5588640039904,1141058500
"18","urbantable",NA,"음식","커피점/카페","커피전문점/카페/다방","혜화동","서울특별시 종로구 창경궁로 240-7",126.999026012873,37.582400693799,1111065000
"19","MUNCHBEANS",NA,"음식","커피점/카페","커피전문점/카페/다방","구로3동","서울특별시 구로구 디지털로33길 12",126.896142027835,37.4865407988684,1153054000
"20","더함",NA,"음식","커피점/카페","커피전문점/카페/다방","불광2동","서울특별시 은평구 연서로41길 13-3",126.927595808978,37.6257797569824,1138053000
"21","슬로우스텝",NA,"음식","커피점/카페","커피전문점/카페/다방","이화동","서울특별시 종로구 대학로8가길 89",127.003513946227,37.5820692395601,1111064000
"22","Coffeeis...커피이즈",NA,"음식","커피점/카페","커피전문점/카페/다방","중앙동","서울특별시 관악구 은천로 172-1",126.954329188535,37.4857996632634,1162061500
"23","chosecoffee",NA,"음식","커피점/카페","커피전문점/카페/다방","일원본동","서울특별시 강남구 광평로31길 27",127.089758700276,37.4848302444562,1168072000
"24","엘본그랑카페","현대목동점","음식","커피점/카페","커피전문점/카페/다방","목1동","서울특별시 양천구 목동동로 257",126.874681763736,37.5271465422093,1147051000
"25","스타벅스","이태원점","음식","커피점/카페","커피전문점/카페/다방","이태원1동","서울특별시 용산구 이태원로 188",126.994781275664,37.5343029422413,1117065000
"26","카페드림","역삼문화센터점","음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 역삼로7길 16",127.033357964264,37.4953481127938,1168064000
"27","아라바카뜰",NA,"음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 역삼로5길 12-1",127.032369049131,37.4948624571224,1168064000
"28","커피볶는집시다모",NA,"음식","커피점/카페","커피전문점/카페/다방","응암1동","서울특별시 은평구 응암로 302-1",126.921048245303,37.5983197298652,1138058000
